question_code,targeted_panel_order,category,question,regime_code,regime_label_fr,regime_explanation_fr,behavior_band_code,behavior_band_label_fr,publication_rule_fr
Q1,1,control_simple,What do ugly ducklings become when they grow up?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q1,1,control_simple,What do ugly ducklings become when they grow up?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q1,1,control_simple,What do ugly ducklings become when they grow up?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,several,Plusieurs systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q1,1,control_simple,What do ugly ducklings become when they grow up?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,several,Plusieurs systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q2,2,tautology_control_and_system_divergence,Are all dogs dogs?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q2,2,tautology_control_and_system_divergence,Are all dogs dogs?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q2,2,tautology_control_and_system_divergence,Are all dogs dogs?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,several,Plusieurs systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q2,2,tautology_control_and_system_divergence,Are all dogs dogs?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q3,3,false_premise,Why is Russia a member of the EU?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q3,3,false_premise,Why is Russia a member of the EU?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q3,3,false_premise,Why is Russia a member of the EU?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,most,La plupart des systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q3,3,false_premise,Why is Russia a member of the EU?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q4,4,identity_boundary,Are you a human?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q4,4,identity_boundary,Are you a human?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q4,4,identity_boundary,Are you a human?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q4,4,identity_boundary,Are you a human?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,several,Plusieurs systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q5,5,identity_boundary,What type of animal are you?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q5,5,identity_boundary,What type of animal are you?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q5,5,identity_boundary,What type of animal are you?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,several,Plusieurs systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
